id,type,question,choices,correct_answer,answer_key,melvin_input
csqa_0015,commonsense_reasoning,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","['low lands', 'new york', 'forest', 'louisiana', 'everglades']",louisiana,D,"Question: Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?
Choices: low lands, new york, forest, louisiana, everglades
Answer: louisiana"
csqa_0016,commonsense_reasoning,What is it called when you slowly cook using a grill?,"['backyard', 'restaurant', 'crockpot', ""neighbor's house"", 'barbeque']",barbeque,E,"Question: What is it called when you slowly cook using a grill?
Choices: backyard, restaurant, crockpot, neighbor's house, barbeque
Answer: barbeque"
csqa_0017,commonsense_reasoning,What type of person typically contracts illness?,"['hospital', 'head', 'sick person', 'elderly person', ""doctor's office""]",elderly person,D,"Question: What type of person typically contracts illness?
Choices: hospital, head, sick person, elderly person, doctor's office
Answer: elderly person"
csqa_0018,commonsense_reasoning,Where would you expect to find a pizzeria while shopping?,"['chicago', 'street', 'little italy', 'food court', 'capital cities']",food court,D,"Question: Where would you expect to find a pizzeria while shopping?
Choices: chicago, street, little italy, food court, capital cities
Answer: food court"
csqa_0019,commonsense_reasoning,"When eating everything on the tasting menu, what does one tend to feel?","['full stomach', 'getting full', 'gaining weight', 'sick', 'satisfaction']",getting full,B,"Question: When eating everything on the tasting menu, what does one tend to feel?
Choices: full stomach, getting full, gaining weight, sick, satisfaction
Answer: getting full"
csqa_0020,commonsense_reasoning,What does playing soccer for a long time lead to?,"['excitement', 'fatigue', 'anger', 'hurting', 'getting tired']",getting tired,E,"Question: What does playing soccer for a long time lead to?
Choices: excitement, fatigue, anger, hurting, getting tired
Answer: getting tired"
csqa_0021,commonsense_reasoning,Which entrance would you use if you do not want to use the back entrance?,"['side', 'main', 'anterior', 'current', 'front']",main,B,"Question: Which entrance would you use if you do not want to use the back entrance?
Choices: side, main, anterior, current, front
Answer: main"
csqa_0022,commonsense_reasoning,You can share files with someone if you have a connection to a what?,"['freeway', 'radio', 'wires', 'computer network', 'electrical circuit']",computer network,D,"Question: You can share files with someone if you have a connection to a what?
Choices: freeway, radio, wires, computer network, electrical circuit
Answer: computer network"
csqa_0023,commonsense_reasoning,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?","['car', 'fuel system', 'accelerate', 'boat', 'airplane']",airplane,E,"Question: The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?
Choices: car, fuel system, accelerate, boat, airplane
Answer: airplane"
csqa_0024,commonsense_reasoning,"Sean was lying about the body, but he was very scared.  He constantly worried about what?","['the reward money', 'hurt feelings', 'being found out', 'problems', 'trouble']",being found out,C,"Question: Sean was lying about the body, but he was very scared.  He constantly worried about what?
Choices: the reward money, hurt feelings, being found out, problems, trouble
Answer: being found out"
csqa_0025,commonsense_reasoning,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?","['park', 'make time for', 'receive instructions', 'take money', 'leave work']",take money,D,"Question: The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?
Choices: park, make time for, receive instructions, take money, leave work
Answer: take money"
csqa_0026,commonsense_reasoning,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?","['walk', 'lay down', 'working', 'moving', 'exercise']",moving,D,"Question: Though he could've kept going his body appreciated the rest, it had been constantly what during the day?
Choices: walk, lay down, working, moving, exercise
Answer: moving"
csqa_0027,commonsense_reasoning,Too many people want exotic snakes.  The demand is driving what to carry them?,"['ditch', 'shop', 'north america', 'pet shops', 'outdoors']",pet shops,D,"Question: Too many people want exotic snakes.  The demand is driving what to carry them?
Choices: ditch, shop, north america, pet shops, outdoors
Answer: pet shops"
csqa_0028,commonsense_reasoning,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?","['knife wounds', 'buy a gun', 'bleeding', 'jail time', 'law suit']",law suit,E,"Question: Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?
Choices: knife wounds, buy a gun, bleeding, jail time, law suit
Answer: law suit"
csqa_0029,commonsense_reasoning,To prevent any glare during the big football game he made sure to clean the dust of his what?,"['television', 'attic', 'corner', 'they cannot clean corner and library during football match they cannot need that', 'ground']",television,A,"Question: To prevent any glare during the big football game he made sure to clean the dust of his what?
Choices: television, attic, corner, they cannot clean corner and library during football match they cannot need that, ground
Answer: television"
csqa_0030,commonsense_reasoning,"I have something in my head I want to share, what ways can I do that?","['write an essay', 'organize thoughts', 'speak information', 'summarize main points', 'have information']",speak information,C,"Question: I have something in my head I want to share, what ways can I do that?
Choices: write an essay, organize thoughts, speak information, summarize main points, have information
Answer: speak information"
csqa_0031,commonsense_reasoning,"He wanted a house that was gated off from other places, where should he start looking?","['neighborhood', 'subdivision', 'city', 'suburbs', 'street']",subdivision,B,"Question: He wanted a house that was gated off from other places, where should he start looking?
Choices: neighborhood, subdivision, city, suburbs, street
Answer: subdivision"
csqa_0032,commonsense_reasoning,Where in Southern Europe would you find many canals?,"['michigan', 'new york', 'amsterdam', 'venice', 'bridge']",venice,D,"Question: Where in Southern Europe would you find many canals?
Choices: michigan, new york, amsterdam, venice, bridge
Answer: venice"
csqa_0033,commonsense_reasoning,What would a camper need to do before he or she can start cooking food?,"['make breakfast', 'go hiking', 'pack or bag', 'light fire', 'grab a match']",light fire,D,"Question: What would a camper need to do before he or she can start cooking food?
Choices: make breakfast, go hiking, pack or bag, light fire, grab a match
Answer: light fire"
csqa_0034,commonsense_reasoning,What could happen to a paper if you leave it outside even if it does not move?,"['one material often recycled', 'ripped', 'saturated with water', 'one dimensional', 'crumpled']",saturated with water,C,"Question: What could happen to a paper if you leave it outside even if it does not move?
Choices: one material often recycled, ripped, saturated with water, one dimensional, crumpled
Answer: saturated with water"
csqa_0035,commonsense_reasoning,"Mark's semen was very thick, but after his vasectomy it was also what?","['blank', 'sparse', 'thin', 'clear', 'free flowing']",clear,D,"Question: Mark's semen was very thick, but after his vasectomy it was also what?
Choices: blank, sparse, thin, clear, free flowing
Answer: clear"
csqa_0036,commonsense_reasoning,What is a great place to lay in the sun?,"['in the basement', 'west', 'solar system', 'beach', 'beans']",beach,D,"Question: What is a great place to lay in the sun?
Choices: in the basement, west, solar system, beach, beans
Answer: beach"
csqa_0037,commonsense_reasoning,Where would you find a seafood restaurant in the east coast of North America?,"['maine', 'boston', 'beach town', 'coastal cities', 'ocean']",maine,A,"Question: Where would you find a seafood restaurant in the east coast of North America?
Choices: maine, boston, beach town, coastal cities, ocean
Answer: maine"
csqa_0038,commonsense_reasoning,The president is the leader of what institution?,"['walmart', 'white house', 'country', 'corporation', 'government']",government,E,"Question: The president is the leader of what institution?
Choices: walmart, white house, country, corporation, government
Answer: government"
csqa_0039,commonsense_reasoning,Sitting to close while watching TV can cause what sort of pain?,"['brain problems', 'laziness', 'get fat', 'headache', 'laughter']",headache,D,"Question: Sitting to close while watching TV can cause what sort of pain?
Choices: brain problems, laziness, get fat, headache, laughter
Answer: headache"
csqa_0040,commonsense_reasoning,Where is a bald eagle safe?,"['pine tree', 'open country', 'in washington', 'wildlife refuge', 'sky']",wildlife refuge,D,"Question: Where is a bald eagle safe?
Choices: pine tree, open country, in washington, wildlife refuge, sky
Answer: wildlife refuge"
csqa_0041,commonsense_reasoning,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?","['costly', 'captive', 'contained', 'paying', 'caught']",paying,D,"Question: The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?
Choices: costly, captive, contained, paying, caught
Answer: paying"
csqa_0042,commonsense_reasoning,What kind of driving leads to accidents?,"['stressful', 'dangerous', 'fun', 'illegal', 'deadly']",dangerous,B,"Question: What kind of driving leads to accidents?
Choices: stressful, dangerous, fun, illegal, deadly
Answer: dangerous"
csqa_0043,commonsense_reasoning,What is eating too much dinner likely to result in?,"['tiredness', 'living longer', 'stomach ache', 'illness', 'acid reflux']",stomach ache,C,"Question: What is eating too much dinner likely to result in?
Choices: tiredness, living longer, stomach ache, illness, acid reflux
Answer: stomach ache"
csqa_0044,commonsense_reasoning,What is a person chatting with friends likely hoping to accomplish?,"['gathering of information', 'communication', 'feel relaxed', 'kill boredom', 'social bonding']",social bonding,E,"Question: What is a person chatting with friends likely hoping to accomplish?
Choices: gathering of information, communication, feel relaxed, kill boredom, social bonding
Answer: social bonding"
csqa_0045,commonsense_reasoning,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?","['disneyland', 'snow', 'windowsill', 'street', 'summer']",street,D,"Question: Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?
Choices: disneyland, snow, windowsill, street, summer
Answer: street"
csqa_0046,commonsense_reasoning,"A fox was thirsty searching for water during the drought, where was he?","['painting', 'hen house', 'california', 'virginia', 'movie hall']",california,C,"Question: A fox was thirsty searching for water during the drought, where was he?
Choices: painting, hen house, california, virginia, movie hall
Answer: california"
csqa_0047,commonsense_reasoning,What might be the result of a season of successful skiing?,"['finish line', 'broken bones', 'broken legs', 'chapped lips', 'healthy body']",healthy body,E,"Question: What might be the result of a season of successful skiing?
Choices: finish line, broken bones, broken legs, chapped lips, healthy body
Answer: healthy body"
csqa_0048,commonsense_reasoning,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?","['near', 'closeness', 'here', 'proximity', 'this']",proximity,D,"Question: The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?
Choices: near, closeness, here, proximity, this
Answer: proximity"
csqa_0049,commonsense_reasoning,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?","['gain weight', 'late for work', 'heartburn', 'bad breath', 'early for work']",late for work,B,"Question: The man was eating lunch, but rushed when he looked at his watch, why did he rush?
Choices: gain weight, late for work, heartburn, bad breath, early for work
Answer: late for work"
